Trial,Participant,StartX,StartY,TargetX,TargetY,Width,Time,Success
219,0,217,393,310,400,40,0.666,1
220,0,314,409,310,220,40,0.85,1
221,0,312,223,490,490,40,0.983,1
222,0,488,481,220,400,40,0.917,1
223,0,221,390,490,400,40,0.95,1
224,0,489,398,220,400,40,0.934,1
225,0,220,387,490,400,40,0.967,1
226,0,492,396,220,220,40,0.983,1
227,0,219,214,400,400,40,0.917,1
228,0,395,386,400,220,40,0.899,1
229,0,408,219,220,400,40,0.899,1
230,0,218,394,400,490,40,0.884,1
231,0,396,490,400,490,40,1.0,1
232,0,399,488,220,220,40,1.067,1
233,0,226,229,310,310,40,0.833,1
234,0,317,318,310,400,40,0.683,1
235,0,318,400,220,400,40,0.767,1
236,0,220,402,490,220,40,1.05,1
237,0,485,212,220,400,40,0.917,1
238,0,215,396,400,220,40,1.367,1
239,0,404,226,310,310,40,0.833,1
240,0,312,300,310,310,40,0.933,0
241,0,410,392,400,400,40,0.95,1
242,0,388,402,220,490,40,0.851,1
243,0,221,482,490,400,40,0.933,1
244,0,485,406,220,310,40,0.916,1
245,0,232,324,310,310,40,0.85,1
246,0,315,318,490,490,40,0.983,1
247,0,488,499,490,220,40,1.0,1
248,0,500,219,220,220,40,1.066,1
249,0,228,205,310,400,40,0.935,1
250,0,316,392,400,220,40,0.882,1
251,0,410,206,220,490,40,0.984,1
252,0,209,490,220,310,40,0.917,1
253,0,213,305,220,400,40,0.867,1
254,0,219,406,220,220,40,0.833,1
255,0,224,212,490,490,40,1.083,1
256,0,490,492,400,310,40,0.834,1
257,0,406,318,490,400,40,0.75,1
258,0,497,407,220,310,40,0.883,1
259,0,216,308,490,310,40,0.934,1
260,0,492,312,310,400,40,0.866,1
261,0,310,394,220,220,40,0.85,1
262,0,222,230,310,400,40,0.917,1
263,0,313,389,220,220,40,0.683,1
264,0,224,230,310,400,40,1.401,1
265,0,306,388,490,400,40,0.933,1
266,0,487,411,310,220,40,1.033,1
267,0,310,226,490,400,40,0.9,1
268,0,494,395,400,220,40,0.767,1
269,0,404,218,400,310,40,0.7,1
270,0,408,314,310,310,40,0.7,1
271,0,316,303,220,310,40,0.716,1
272,0,227,310,310,490,40,0.9,1
273,0,316,486,490,490,40,0.9,1
274,0,483,493,310,490,40,0.951,1
275,0,317,486,220,220,40,1.0,1
276,0,218,217,220,400,40,0.816,1
277,0,214,414,400,400,40,0.867,1
278,0,405,396,220,310,40,0.9,1
279,0,229,300,490,310,40,0.951,1
280,0,487,311,490,220,40,0.732,1
281,0,487,231,220,310,40,0.884,1
282,0,231,303,490,220,40,0.933,1
283,0,478,209,490,220,40,1.249,1
284,0,500,217,310,310,40,0.884,1
285,0,313,311,220,220,40,0.799,1
286,0,216,208,490,310,40,0.918,1
287,0,488,312,310,400,40,0.917,1
288,0,311,393,490,220,40,1.416,1
289,0,501,217,400,490,40,0.916,1
290,0,407,479,490,490,40,1.101,1
291,0,500,493,310,310,40,0.883,1
292,0,314,317,400,490,40,0.884,1
293,0,391,490,220,220,40,0.899,1
294,0,210,228,310,220,40,0.75,1
295,0,314,214,220,310,40,1.05,1
296,0,206,315,220,220,40,1.001,1
297,0,237,217,400,490,40,1.1,1
298,0,403,484,220,490,40,0.9,1
299,0,216,483,400,310,40,0.899,1
300,0,415,301,310,310,40,0.734,1
301,0,299,305,310,490,40,0.867,1
302,0,309,502,400,490,40,1.1,1
303,0,390,484,220,220,40,0.967,1
304,0,222,225,220,400,40,0.866,1
305,0,220,401,400,490,40,0.851,1
306,0,408,484,310,310,40,0.75,1
307,0,307,293,490,310,40,0.833,1
308,0,483,316,310,490,40,0.85,1
309,0,318,482,400,400,40,0.7,1
310,0,407,411,310,220,40,0.783,1
311,0,310,224,400,400,40,0.901,1
312,0,399,393,400,310,40,0.682,1
313,0,402,303,490,400,40,0.784,1
314,0,506,397,310,220,40,0.867,1
315,0,315,208,310,490,40,0.967,1
316,0,305,491,220,310,40,0.816,1
317,0,204,300,400,310,40,0.917,1
318,0,389,316,400,490,40,1.05,1
319,0,392,500,490,310,40,0.933,1
